Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: ChemSpider Search,Annotation Source: MassList Match,Molecular Weight,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,Mass List Match: Endogenous Metabolites database 4400 compounds,Mass List Match: Extractables and Leachables HRAM Compound Database,mzCloud Best Sim. Match,Group Area: Neg_1,Group Area: Neg_2,Group Area: Neg_3,Group Area: Neg_4,Group Area: Neg_5,Group Area: Neg_6,Group Area: Neg_Pool,Group CV [%]: Neg_1,Group CV [%]: Neg_2,Group CV [%]: Neg_3,Group CV [%]: Neg_4,Group CV [%]: Neg_5,Group CV [%]: Neg_6,Group CV [%]: Neg_Pool,Ratio: (Neg_1) / (Neg_Pool),Ratio: (Neg_2) / (Neg_Pool),Ratio: (Neg_3) / (Neg_Pool),Ratio: (Neg_4) / (Neg_Pool),Ratio: (Neg_5) / (Neg_Pool),Ratio: (Neg_6) / (Neg_Pool),Ratio: (Neg_2) / (Neg_1),Ratio: (Neg_3) / (Neg_1),Ratio: (Neg_4) / (Neg_1),Ratio: (Neg_5) / (Neg_1),Ratio: (Neg_6) / (Neg_1),Ratio: (Neg_3) / (Neg_2),Ratio: (Neg_4) / (Neg_2),Ratio: (Neg_5) / (Neg_2),Ratio: (Neg_6) / (Neg_2),Ratio: (Neg_4) / (Neg_3),Ratio: (Neg_5) / (Neg_3),Ratio: (Neg_6) / (Neg_3),Ratio: (Neg_5) / (Neg_4),Ratio: (Neg_6) / (Neg_4),Ratio: (Neg_6) / (Neg_5),Log2 Fold Change: (Neg_1) / (Neg_Pool),Log2 Fold Change: (Neg_2) / (Neg_Pool),Log2 Fold Change: (Neg_3) / (Neg_Pool),Log2 Fold Change: (Neg_4) / (Neg_Pool),Log2 Fold Change: (Neg_5) / (Neg_Pool),Log2 Fold Change: (Neg_6) / (Neg_Pool),Log2 Fold Change: (Neg_2) / (Neg_1),Log2 Fold Change: (Neg_3) / (Neg_1),Log2 Fold Change: (Neg_4) / (Neg_1),Log2 Fold Change: (Neg_5) / (Neg_1),Log2 Fold Change: (Neg_6) / (Neg_1),Log2 Fold Change: (Neg_3) / (Neg_2),Log2 Fold Change: (Neg_4) / (Neg_2),Log2 Fold Change: (Neg_5) / (Neg_2),Log2 Fold Change: (Neg_6) / (Neg_2),Log2 Fold Change: (Neg_4) / (Neg_3),Log2 Fold Change: (Neg_5) / (Neg_3),Log2 Fold Change: (Neg_6) / (Neg_3),Log2 Fold Change: (Neg_5) / (Neg_4),Log2 Fold Change: (Neg_6) / (Neg_4),Log2 Fold Change: (Neg_6) / (Neg_5),P-value: (Neg_1) / (Neg_Pool),P-value: (Neg_2) / (Neg_Pool),P-value: (Neg_3) / (Neg_Pool),P-value: (Neg_4) / (Neg_Pool),P-value: (Neg_5) / (Neg_Pool),P-value: (Neg_6) / (Neg_Pool),P-value: (Neg_2) / (Neg_1),P-value: (Neg_3) / (Neg_1),P-value: (Neg_4) / (Neg_1),P-value: (Neg_5) / (Neg_1),P-value: (Neg_6) / (Neg_1),P-value: (Neg_3) / (Neg_2),P-value: (Neg_4) / (Neg_2),P-value: (Neg_5) / (Neg_2),P-value: (Neg_6) / (Neg_2),P-value: (Neg_4) / (Neg_3),P-value: (Neg_5) / (Neg_3),P-value: (Neg_6) / (Neg_3),P-value: (Neg_5) / (Neg_4),P-value: (Neg_6) / (Neg_4),P-value: (Neg_6) / (Neg_5),Adj. P-value: (Neg_1) / (Neg_Pool),Adj. P-value: (Neg_2) / (Neg_Pool),Adj. P-value: (Neg_3) / (Neg_Pool),Adj. P-value: (Neg_4) / (Neg_Pool),Adj. P-value: (Neg_5) / (Neg_Pool),Adj. P-value: (Neg_6) / (Neg_Pool),Adj. P-value: (Neg_2) / (Neg_1),Adj. P-value: (Neg_3) / (Neg_1),Adj. P-value: (Neg_4) / (Neg_1),Adj. P-value: (Neg_5) / (Neg_1),Adj. P-value: (Neg_6) / (Neg_1),Adj. P-value: (Neg_3) / (Neg_2),Adj. P-value: (Neg_4) / (Neg_2),Adj. P-value: (Neg_5) / (Neg_2),Adj. P-value: (Neg_6) / (Neg_2),Adj. P-value: (Neg_4) / (Neg_3),Adj. P-value: (Neg_5) / (Neg_3),Adj. P-value: (Neg_6) / (Neg_3),Adj. P-value: (Neg_5) / (Neg_4),Adj. P-value: (Neg_6) / (Neg_4),Adj. P-value: (Neg_6) / (Neg_5)
FALSE,(1R_2S)-1-Hydroxypropane-1_2_3-tricarboxylate,C6 H8 O7,Full match,No results,Partial match,Full match,192.02731,1.258,473574.4446,9,0,,Multiple matches found,Multiple matches found,,263661.9804,37835.82937,138627.093,189167.2255,11853.18918,1477.064203,4681.306927,53.91614428,84.16621798,40.33559044,79.54605976,26.78666169,41.93728597,92.25475164,56.322,8.082,29.613,40.409,2.532,0.316,0.144,0.526,0.717,0.045,0.006,3.664,5,0.313,0.039,1.365,0.086,0.011,0.063,0.008,0.125,5.82,3.01,4.89,5.34,1.34,-1.66,-2.8,-0.93,-0.48,-4.48,-7.48,1.87,2.32,-1.67,-4.68,0.45,-3.55,-6.55,-4,-7,-3,2.85E-05,0.4651594,0.000433033,1.51E-05,0.571124556,0.554036543,0.017704389,0.951213146,0.999980216,0.012914943,1.92E-05,0.134807327,0.010408855,0.999999087,0.07619398,0.875856911,0.103037118,0.000167216,0.00755507,1.15E-05,0.100761574,0.00010932,0.765772617,0.001486438,6.18E-05,0.677510503,0.950262454,0.0408044,1,1,0.018384802,5.98E-05,0.237260895,0.025064108,1,0.15365786,1,0.133699638,0.000680106,0.010358793,4.73E-05,0.13509308
FALSE,"(2R)-2,3-Dihydroxypropanoic acid",C3 H6 O4,Full match,Full match,Full match,Full match,106.02669,0.64,97907.44515,3,1,70.7,Single match found,No matches found,,63775.87553,30758.93366,76168.74733,102818.938,10214.98144,57464.78537,53207.59351,14.38864618,7.51980379,17.9886043,14.84705305,6.659989043,13.02403889,7.197834538,1.199,0.578,1.432,1.932,0.192,1.08,0.482,1.194,1.612,0.16,0.901,2.476,3.343,0.332,1.868,1.35,0.134,0.754,0.099,0.559,5.626,0.26,-0.79,0.52,0.95,-2.38,0.11,-1.05,0.26,0.69,-2.64,-0.15,1.31,1.74,-1.59,0.9,0.43,-2.9,-0.41,-3.33,-0.84,2.49,0.68950283,1.29E-06,0.000288152,2.47E-07,4.92E-14,0.942666141,2.29E-06,0.056464117,0.000121902,1.37E-13,0.999144125,6.92E-09,1.12E-10,1.86E-09,5.81E-06,0.136484278,4.90E-14,0.021388992,4.43E-14,4.45E-05,1.98E-13,1,4.98E-06,0.00101062,1.31E-06,1.32E-13,1,9.14E-06,0.11830577,0.000341043,4.53E-13,1,4.04E-08,8.78E-10,4.60E-09,2.18E-05,0.330291954,1.49E-13,0.065108631,1.51E-13,0.000159379,5.03E-13
TRUE,"(2R,3S,4S)-2-Dodecyl-3,4-dihydroxy-5-oxotetrahydro-2,3-furandicarboxylic acid",C18 H30 O8,Full match,Invalid mass,Not the top hit,No results,374.19428,3.253,1880509.533,2,59,,No matches found,No matches found,90.2,878126.2025,344853.5994,1616058.888,559260.0606,79083.29893,743273.2527,938560.8293,10.37535434,17.50226192,15.98196808,12.37256583,14.68321684,11.77314908,8.090772632,0.936,0.367,1.722,0.596,0.084,0.792,0.393,1.84,0.637,0.09,0.846,4.686,1.622,0.229,2.155,0.346,0.049,0.46,0.141,1.329,9.399,-0.1,-1.44,0.78,-0.75,-3.57,-0.34,-1.35,0.88,-0.65,-3.47,-0.24,2.23,0.7,-2.12,1.11,-1.53,-4.35,-1.12,-2.82,0.41,3.23,0.99997595,6.48E-10,1.13E-06,4.93E-05,4.36E-14,0.418039661,4.50E-08,1.94E-05,0.001224736,4.45E-14,0.769733084,2.88E-12,0.001066184,1.46E-11,6.51E-07,2.28E-09,4.36E-14,9.90E-07,9.05E-14,0.031859801,4.63E-14,1,4.02E-09,5.54E-06,0.000178086,1.26E-13,0.787280918,2.42E-07,6.37E-05,0.003103519,1.77E-13,1,3.58E-11,0.002965707,4.24E-11,2.74E-06,1.87E-08,1.43E-13,5.45E-06,2.65E-13,0.077879515,1.45E-13
FALSE,"(2R,3S,4S)-2-Dodecyl-3,4-dihydroxy-5-oxotetrahydro-2,3-furandicarboxylic acid",C18 H30 O8,Full match,No results,Not the top hit,No results,374.19426,3.746,173461.7058,2,0,,No matches found,No matches found,,85495.29355,104388.787,130807.8452,88618.1789,3188.654197,107232.7936,97209.54518,9.896831356,7.419074949,10.77460676,4.282835462,31.97071515,44.65794944,8.971305735,0.879,1.074,1.346,0.912,0.033,1.103,1.221,1.53,1.037,0.037,1.254,1.253,0.849,0.031,1.027,0.677,0.024,0.82,0.036,1.21,33.629,-0.19,0.1,0.43,-0.13,-4.93,0.14,0.29,0.61,0.05,-4.74,0.33,0.33,-0.24,-5.03,0.04,-0.56,-5.36,-0.29,-4.8,0.28,5.07,0.990415828,0.980488158,0.132212686,0.987812809,4.36E-14,0.211420588,0.874090425,0.123048904,1,4.81E-14,0.181159799,0.704358111,0.862785239,4.54E-14,0.819893271,0.116920139,4.41E-14,0.999989963,4.81E-14,0.172713577,4.43E-14,1,1,0.285673839,1,1.26E-13,0.456819484,1,0.240143829,1,1.80E-13,0.346566571,0.954928083,1,1.83E-13,1,0.28872116,1.43E-13,1,1.55E-13,0.352714646,1.45E-13
TRUE,"(2R,3S,4S)-2-Dodecyl-3,4-dihydroxy-5-oxotetrahydro-2,3-furandicarboxylic acid",C18 H30 O8,Full match,No results,Not the top hit,No results,374.19417,3.075,341654.5676,2,0,,No matches found,No matches found,,118826.5331,15505.13433,340327.7944,51527.36271,34369.4092,127172.9961,148094.0307,20.69551792,13.37315636,8.432899172,13.48294375,13.31536831,18.38792706,11.66231042,0.802,0.105,2.298,0.348,0.232,0.859,0.13,2.864,0.434,0.289,1.07,21.949,3.323,2.217,8.202,0.151,0.101,0.374,0.667,2.468,3.7,-0.32,-3.26,1.2,-1.52,-2.11,-0.22,-2.94,1.52,-1.21,-1.79,0.1,4.46,1.73,1.15,3.04,-2.72,-3.31,-1.42,-0.58,1.3,1.89,0.555205526,4.61E-14,1.14E-07,9.16E-10,4.62E-12,0.829155724,7.83E-13,2.19E-07,6.48E-07,2.42E-09,0.999674894,4.39E-14,1.16E-07,7.52E-05,5.15E-13,1.15E-12,7.58E-14,4.53E-07,0.054446983,3.11E-07,1.33E-09,0.89872734,5.44E-13,6.98E-07,7.39E-09,9.63E-12,1,1.15E-11,1.00E-06,2.32E-06,5.28E-09,1,9.07E-13,5.56E-07,0.000129605,4.02E-12,1.47E-11,2.06E-13,2.58E-06,0.072396538,1.57E-06,2.62E-09
FALSE,"(2R,3S,4S)-2-Dodecyl-3,4-dihydroxy-5-oxotetrahydro-2,3-furandicarboxylic acid",C18 H30 O8,Full match,Invalid mass,Full match,No results,374.19417,3.348,366321.7784,1,59,,No matches found,No matches found,90.2,40920.88258,25973.55976,254633.0127,22308.38956,6447.609385,46903.71815,68756.21581,29.95097285,62.7503258,48.33204009,89.10798402,28.66095465,35.80499933,41.6873707,0.595,0.378,3.703,0.324,0.094,0.682,0.635,6.223,0.545,0.158,1.146,9.804,0.859,0.248,1.806,0.088,0.025,0.184,0.289,2.103,7.275,-0.75,-1.4,1.89,-1.62,-3.41,-0.55,-0.66,2.64,-0.88,-2.67,0.2,3.29,-0.22,-2.01,0.85,-3.51,-5.3,-2.44,-1.79,1.07,2.86,0.895053401,0.190651218,0.015868881,0.372761952,1.01E-05,0.839307309,0.917994784,0.009815083,0.985757105,0.001746707,0.999999824,0.000781741,0.999835913,0.021386657,0.94793725,0.001712982,3.53E-07,0.007694773,0.01000437,0.993557615,0.002237379,1,0.348208262,0.043149093,0.683396912,1.51E-05,1,1,0.022838943,1,0.002633664,1,0.002212648,1,0.032046879,1,0.00623371,6.10E-07,0.024828469,0.01363976,1,0.003222891
TRUE,(2R_3S)-2_3-Dimethylmalate,C6 H10 O5,Full match,No results,Partial match,Full match,162.053,0.56,172814.4168,36,0,,Multiple matches found,No matches found,,79418.14599,69140.60044,77442.63138,52800.3108,14059.16262,186830.3722,101386.8433,13.57260996,7.194370542,6.558266985,4.487256929,8.564750648,4.402406298,3.928798213,0.783,0.682,0.764,0.521,0.139,1.843,0.871,0.975,0.665,0.177,2.352,1.12,0.764,0.203,2.702,0.682,0.182,2.413,0.266,3.538,13.289,-0.35,-0.55,-0.39,-0.94,-2.85,0.88,-0.2,-0.04,-0.59,-2.5,1.23,0.16,-0.39,-2.3,1.43,-0.55,-2.46,1.27,-1.91,1.82,3.73,0.003468457,1.36E-07,0.0004364,5.55E-11,4.36E-14,6.75E-11,0.012812026,0.988871164,1.87E-06,4.36E-14,2.22E-11,0.061525393,0.009387185,4.36E-14,2.62E-13,8.37E-06,4.36E-14,9.00E-12,4.43E-14,4.87E-14,4.36E-14,0.009431084,5.97E-07,0.001487448,6.25E-10,1.26E-13,7.97E-10,0.03039716,1,6.35E-06,1.77E-13,1.41E-10,0.118638607,0.022831144,1.83E-13,2.15E-12,4.14E-05,1.43E-13,1.32E-10,1.51E-13,9.83E-13,1.45E-13
FALSE,(R)(-)-Allantoin,C4 H6 N4 O3,Full match,Invalid mass,Partial match,Full match,158.04421,0.594,663408.9715,5,13,,Multiple matches found,No matches found,72.3,670139.6765,780009.4589,661648.2986,688776.8204,79142.40732,645778.6737,645066.8276,6.162000902,10.16678734,5.016306902,6.123751633,7.434573377,2.880720625,4.671260167,1.039,1.209,1.026,1.068,0.123,1.001,1.164,0.987,1.028,0.118,0.964,0.848,0.883,0.101,0.828,1.041,0.12,0.976,0.115,0.938,8.16,0.06,0.27,0.04,0.09,-3.03,0,0.22,-0.02,0.04,-3.08,-0.05,-0.24,-0.18,-3.3,-0.27,0.06,-3.06,-0.04,-3.12,-0.09,3.03,0.563458404,0.000644462,0.999999743,0.32362435,4.36E-14,0.999871342,0.136937859,0.817659332,0.99982865,4.36E-14,0.892328104,0.007924046,0.249535428,4.36E-14,0.01166421,0.622126529,4.36E-14,0.999997169,4.36E-14,0.724847269,4.36E-14,0.906026137,0.001772271,1,0.611852287,1.26E-13,1,0.264055473,1,1,1.77E-13,1,0.019871702,0.464519796,1.83E-13,0.026883227,1,1.43E-13,1,1.51E-13,1,1.45E-13
FALSE,(R)-Malate,C4 H6 O5,Full match,No results,Partial match,Full match,134.02171,0.884,745317.589,8,0,,Multiple matches found,Single match found,,19412.92907,192079.2187,19674.99086,19423.35897,73377.53907,245605.3264,14362.99889,42.23197756,23.17784421,37.26720273,22.69593236,9.508535453,115.1082286,124.3945978,1.352,13.373,1.37,1.352,5.109,17.1,9.894,1.013,1.001,3.78,12.652,0.102,0.101,0.382,1.279,0.987,3.729,12.483,3.778,12.645,3.347,0.43,3.74,0.45,0.44,2.35,4.1,3.31,0.02,0,1.92,3.66,-3.29,-3.31,-1.39,0.35,-0.02,1.9,3.64,1.92,3.66,1.74,0.99278547,0.800113693,0.991429979,0.972637434,0.998995473,0.954339728,0.644798299,1,0.999998023,0.964692164,0.831499802,0.633853246,0.545756311,0.987926406,0.999851696,0.99999902,0.961304494,0.82289219,0.925997147,0.747414328,0.999564563,1,1,1,1,1,1,0.984486993,1,1,1,1,0.887745886,0.904609775,1,1,1,1,1,1,1,1
TRUE,"[1,1'-{1,2-Phenylenebis[nitrilo(Z)methylylidene]}di(2-naphtholato-kappaO)(2-)]nickel",C28 H18 N2 Ni O2,No results,No results,Full match,No results,472.0723,0.505,109948.8736,1,0,,No matches found,No matches found,,19795.18252,6353.622036,75841.89159,39519.26077,158.6550791,18360.69193,31500.82697,19.68467693,12.71888821,50.88501815,25.01867513,7.042836338,4.799896766,39.99744059,0.628,0.202,2.408,1.255,0.005,0.583,0.321,3.831,1.996,0.008,0.928,11.937,6.22,0.025,2.89,0.521,0.002,0.242,0.004,0.465,115.727,-0.67,-2.31,1.27,0.33,-7.63,-0.78,-1.64,1.94,1,-6.96,-0.11,3.58,2.64,-5.32,1.53,-0.94,-8.9,-2.05,-7.96,-1.11,6.85,0.160230052,1.70E-06,0.09283909,0.937427434,4.45E-14,0.064536187,0.005328553,0.00307636,0.086474045,5.37E-13,0.999692948,3.38E-07,7.08E-06,9.27E-11,0.012600198,0.723694873,4.96E-14,0.001283073,6.47E-14,0.039631268,8.15E-13,0.334273041,6.34E-06,0.210958309,1,1.26E-13,0.166146354,0.01371819,0.00791999,0.17294809,1.66E-12,1,1.43E-06,2.60E-05,2.56E-10,0.028497645,1,1.49E-13,0.004776978,1.98E-13,0.094027127,1.93E-12
