Checked,Name,Formula,Annotation Source: Predicted Compositions,Annotation Source: mzCloud Search,Annotation Source: ChemSpider Search,Annotation Source: MassList Match,FISh Coverage,Molecular Weight,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,Mass List Match: Endogenous Metabolites database 4400 compounds,Mass List Match: Extractables and Leachables HRAM Compound Database,mzCloud Best Sim. Match,Group Area: 2,Group Area: 3,Group Area: 4,Group Area: 5,Group Area: 6,Group Area: 1,Group Area: Pool,Group CV [%]: 2,Group CV [%]: 3,Group CV [%]: 4,Group CV [%]: 5,Group CV [%]: 6,Group CV [%]: 1,Group CV [%]: Pool,Ratio: (1) / (Pool),Ratio: (2) / (Pool),Ratio: (3) / (Pool),Ratio: (4) / (Pool),Ratio: (5) / (Pool),Ratio: (6) / (Pool),Ratio: (3) / (2),Ratio: (4) / (2),Ratio: (5) / (2),Ratio: (6) / (2),Ratio: (1) / (2),Ratio: (4) / (3),Ratio: (5) / (3),Ratio: (6) / (3),Ratio: (1) / (3),Ratio: (5) / (4),Ratio: (6) / (4),Ratio: (1) / (4),Ratio: (6) / (5),Ratio: (1) / (5),Ratio: (1) / (6),Log2 Fold Change: (1) / (Pool),Log2 Fold Change: (2) / (Pool),Log2 Fold Change: (3) / (Pool),Log2 Fold Change: (4) / (Pool),Log2 Fold Change: (5) / (Pool),Log2 Fold Change: (6) / (Pool),Log2 Fold Change: (3) / (2),Log2 Fold Change: (4) / (2),Log2 Fold Change: (5) / (2),Log2 Fold Change: (6) / (2),Log2 Fold Change: (1) / (2),Log2 Fold Change: (4) / (3),Log2 Fold Change: (5) / (3),Log2 Fold Change: (6) / (3),Log2 Fold Change: (1) / (3),Log2 Fold Change: (5) / (4),Log2 Fold Change: (6) / (4),Log2 Fold Change: (1) / (4),Log2 Fold Change: (6) / (5),Log2 Fold Change: (1) / (5),Log2 Fold Change: (1) / (6),P-value: (1) / (Pool),P-value: (2) / (Pool),P-value: (3) / (Pool),P-value: (4) / (Pool),P-value: (5) / (Pool),P-value: (6) / (Pool),P-value: (3) / (2),P-value: (4) / (2),P-value: (5) / (2),P-value: (6) / (2),P-value: (1) / (2),P-value: (4) / (3),P-value: (5) / (3),P-value: (6) / (3),P-value: (1) / (3),P-value: (5) / (4),P-value: (6) / (4),P-value: (1) / (4),P-value: (6) / (5),P-value: (1) / (5),P-value: (1) / (6),Adj. P-value: (1) / (Pool),Adj. P-value: (2) / (Pool),Adj. P-value: (3) / (Pool),Adj. P-value: (4) / (Pool),Adj. P-value: (5) / (Pool),Adj. P-value: (6) / (Pool),Adj. P-value: (3) / (2),Adj. P-value: (4) / (2),Adj. P-value: (5) / (2),Adj. P-value: (6) / (2),Adj. P-value: (1) / (2),Adj. P-value: (4) / (3),Adj. P-value: (5) / (3),Adj. P-value: (6) / (3),Adj. P-value: (1) / (3),Adj. P-value: (5) / (4),Adj. P-value: (6) / (4),Adj. P-value: (1) / (4),Adj. P-value: (6) / (5),Adj. P-value: (1) / (5),Adj. P-value: (1) / (6)
FALSE,Maleamate,C4 H5 N O3,Full match,Invalid mass,Partial match,Full match,,115.02692,0.525,27959585.09,5,52,,Single match found,No matches found,98.3,12117579.7,27959585.09,26200277.65,4144106.712,14338188.79,20954259.89,21675858.08,9.954031334,6.030942701,4.306842931,6.835363725,0.260620605,4.41692853,5.906519484,0.967,0.559,1.29,1.209,0.191,0.661,2.307,2.162,0.342,1.183,1.729,0.937,0.148,0.513,0.749,0.158,0.547,0.8,3.46,5.056,1.461,-0.05,-0.84,0.37,0.27,-2.39,-0.6,1.21,1.11,-1.55,0.24,0.79,-0.09,-2.75,-0.96,-0.42,-2.66,-0.87,-0.32,1.79,2.34,0.55,0.99999883,1.02E-08,0.000535615,0.003054863,2.32E-14,2.55E-06,2.31E-10,5.03E-10,9.92E-12,0.020647339,6.02E-08,0.980351788,2.31E-14,1.15E-08,0.001309778,2.32E-14,2.92E-08,0.006366384,8.02E-13,2.50E-14,1.35E-05,1,5.62E-08,0.001695585,0.010182877,7.98E-14,1.92E-05,1.57E-09,3.79E-09,3.00E-11,0.04527183,3.00E-07,1,8.76E-14,1.14E-07,0.003313151,8.69E-14,1.91E-07,0.01846079,2.21E-12,1.16E-13,5.08E-05
FALSE,Asparagine,C4 H8 N2 O3,Full match,Full match,Partial match,Full match,,132.05351,0.525,27614307.41,25,2,94.7,Multiple matches found,No matches found,,11925025.05,27614307.41,26026595.77,4454401.375,13940475.83,20582102.86,21375023.88,10.0252519,6.160894446,4.313328847,6.083207483,0.379824436,4.50657164,5.915190851,0.963,0.558,1.292,1.218,0.208,0.652,2.316,2.183,0.374,1.169,1.726,0.943,0.161,0.505,0.745,0.171,0.536,0.791,3.13,4.621,1.476,-0.05,-0.84,0.37,0.28,-2.26,-0.62,1.21,1.13,-1.42,0.23,0.79,-0.09,-2.63,-0.99,-0.42,-2.55,-0.9,-0.34,1.65,2.21,0.56,0.999991929,8.53E-09,0.000470742,0.00202335,2.35E-14,1.46E-06,1.91E-10,3.63E-10,2.80E-11,0.029853208,5.34E-08,0.991806298,2.32E-14,7.41E-09,0.001056639,2.33E-14,1.59E-08,0.003977389,2.59E-12,2.89E-14,8.51E-06,1,4.78E-08,0.001503562,0.006894855,7.98E-14,1.17E-05,1.32E-09,2.81E-09,7.92E-11,0.063885865,2.70E-07,1,8.76E-14,7.70E-08,0.002737539,8.69E-14,1.09E-07,0.011821684,6.74E-12,1.29E-13,3.30E-05
FALSE,D-(+)-Pyroglutamic Acid,C5 H7 N O3,Full match,Full match,Not the top hit,Full match,,129.0426,0.531,27388470.84,19,8,96.2,Multiple matches found,No matches found,,9521861.296,27388470.84,14362736.75,3289179.43,25388588.65,17015641.15,18282954.5,5.221060698,3.434881694,7.004434522,4.672827396,2.255155142,2.72040821,4.869848198,0.931,0.521,1.498,0.786,0.18,1.389,2.876,1.508,0.345,2.666,1.787,0.524,0.12,0.927,0.621,0.229,1.768,1.185,7.719,5.173,0.67,-0.1,-0.94,0.58,-0.35,-2.47,0.47,1.52,0.59,-1.53,1.41,0.84,-0.93,-3.06,-0.11,-0.69,-2.13,0.82,0.24,2.95,2.37,-0.58,0.217645095,1.23E-11,5.82E-08,2.22E-06,2.26E-14,2.44E-06,5.85E-14,2.68E-07,1.03E-13,2.62E-13,4.24E-10,5.91E-11,2.26E-14,0.238351725,1.73E-08,2.31E-14,5.39E-10,0.000481396,2.26E-14,2.28E-14,3.74E-07,0.526878396,1.22E-10,5.02E-07,1.25E-05,7.98E-14,1.85E-05,9.34E-13,1.31E-06,4.11E-13,2.95E-12,3.33E-09,9.17E-10,8.76E-14,0.480294435,9.50E-08,8.69E-14,5.29E-09,0.001565634,8.46E-14,1.15E-13,1.89E-06
FALSE,DL-Glutamine,C5 H10 N2 O3,Full match,Full match,Full match,Full match,,146.06914,0.529,26599848.29,27,21,97.9,Multiple matches found,No matches found,79.6,9051884.012,26599848.29,13644753.31,3218652.33,24350645.38,15699852.62,17505296.73,5.573129759,3.403083961,6.933471858,4.536847902,2.130206428,2.768704362,4.762403713,0.897,0.517,1.52,0.779,0.184,1.391,2.939,1.507,0.356,2.69,1.734,0.513,0.121,0.915,0.59,0.236,1.785,1.151,7.565,4.878,0.645,-0.16,-0.95,0.6,-0.36,-2.44,0.48,1.56,0.59,-1.49,1.43,0.79,-0.96,-3.05,-0.13,-0.76,-2.08,0.84,0.2,2.92,2.29,-0.63,0.027959286,1.16E-11,3.20E-08,1.67E-06,2.26E-14,1.92E-06,4.62E-14,3.00E-07,1.48E-13,2.24E-13,1.07E-09,3.70E-11,2.26E-14,0.14711965,3.49E-09,2.31E-14,3.96E-10,0.002449179,2.26E-14,2.28E-14,8.13E-08,0.081738895,1.17E-10,2.98E-07,9.89E-06,7.98E-14,1.51E-05,7.84E-13,1.45E-06,5.75E-13,2.58E-12,7.49E-09,6.19E-10,8.76E-14,0.311718862,2.16E-08,8.69E-14,4.07E-09,0.007423856,8.46E-14,1.15E-13,4.65E-07
FALSE,Choline,C5 H13 N O,Full match,Full match,Partial match,Full match,,103.09966,0.501,12939322.78,29,2,97.6,Single match found,No matches found,,8296929.915,12939322.78,14580893.18,3312753.434,15147457.97,11101741.74,11895614.05,3.457658781,4.801834636,4.706031189,2.725846399,3.244591509,6.55249411,2.713829739,0.933,0.697,1.088,1.226,0.278,1.273,1.56,1.757,0.399,1.826,1.338,1.127,0.256,1.171,0.858,0.227,1.039,0.761,4.572,3.351,0.733,-0.1,-0.52,0.12,0.29,-1.84,0.35,0.64,0.81,-1.32,0.87,0.42,0.17,-1.97,0.23,-0.22,-2.14,0.05,-0.39,2.19,1.74,-0.45,0.724682063,3.36E-08,0.095875104,8.27E-05,2.28E-14,4.14E-06,6.80E-09,2.33E-10,8.80E-14,5.73E-11,1.08E-06,0.052447166,2.29E-14,0.002220307,0.012982656,2.28E-14,0.6708368,2.66E-05,2.26E-14,2.31E-14,2.04E-06,1,1.67E-07,0.196525597,0.000356754,7.98E-14,2.93E-05,3.45E-08,1.87E-09,3.61E-13,4.11E-10,4.29E-06,0.132982151,8.76E-14,0.007049638,0.02800694,8.69E-14,1,9.86E-05,8.46E-14,1.15E-13,8.84E-06
FALSE,N-BOC-hydroxylamine,C5 H11 N O3,Full match,Invalid mass,Full match,No results,,133.07387,0.575,19349520.02,26,18,,No matches found,No matches found,95.7,7113019.53,19496311.46,4863861.793,945594.0813,10719446.28,10780022.11,10334031.39,1.171473866,3.853589719,4.172410108,7.230951824,6.226965768,2.275243295,6.495655916,1.043,0.688,1.887,0.471,0.092,1.037,2.741,0.684,0.133,1.507,1.516,0.249,0.049,0.55,0.553,0.194,2.204,2.216,11.336,11.4,1.006,0.06,-0.54,0.92,-1.09,-3.45,0.05,1.45,-0.55,-2.91,0.59,0.6,-2,-4.37,-0.86,-0.85,-2.36,1.14,1.15,3.5,3.51,0.01,1,2.23E-07,8.27E-10,1.03E-11,2.26E-14,0.998800562,2.11E-12,1.46E-06,2.26E-14,5.68E-07,1.05E-06,2.50E-14,2.26E-14,7.12E-09,4.48E-09,2.30E-14,3.43E-11,4.73E-11,2.26E-14,2.26E-14,0.999346828,1,9.95E-07,1.23E-08,2.75E-10,7.98E-14,1,2.19E-11,6.37E-06,1.28E-13,2.33E-06,4.19E-06,1.14E-12,8.76E-14,7.55E-08,2.71E-08,8.69E-14,4.83E-10,3.56E-10,8.46E-14,1.15E-13,1
FALSE,D-(+)-Proline,C5 H9 N O2,Full match,Full match,Full match,Full match,,115.06331,0.574,19285091.86,37,2,99.5,Multiple matches found,No matches found,,7078527.622,19430792.03,4632862.63,904854.9127,10580107.79,10745625.31,10243591.37,1.18550081,3.870247051,4.227040261,7.332149993,6.321684802,2.264469882,6.498483668,1.049,0.691,1.897,0.452,0.088,1.033,2.745,0.654,0.128,1.495,1.518,0.238,0.047,0.545,0.553,0.195,2.284,2.319,11.693,11.876,1.016,0.07,-0.53,0.92,-1.14,-3.5,0.05,1.46,-0.61,-2.97,0.58,0.6,-2.07,-4.42,-0.88,-0.85,-2.36,1.19,1.21,3.55,3.57,0.02,0.99999759,2.99E-07,7.94E-10,6.40E-12,2.26E-14,0.99982724,2.34E-12,4.35E-07,2.26E-14,8.91E-07,1.12E-06,2.43E-14,2.26E-14,5.99E-09,5.05E-09,2.30E-14,2.35E-11,2.62E-11,2.26E-14,2.26E-14,0.999998197,1,1.31E-06,1.20E-08,2.02E-10,7.98E-14,1,2.40E-11,2.06E-06,1.28E-13,3.54E-06,4.44E-06,1.14E-12,8.76E-14,6.47E-08,2.99E-08,8.69E-14,3.49E-10,2.14E-10,8.46E-14,1.15E-13,1
FALSE,L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,Full match,,147.05305,0.538,15860440.27,28,1,88.3,Multiple matches found,No matches found,,5657154.248,15726665.17,8450318.458,2035308.986,14826291.46,10571955.01,10753087.48,3.906101899,1.823370623,5.973779411,4.621801516,2.60537765,5.844633768,5.985144371,0.983,0.526,1.463,0.786,0.189,1.379,2.78,1.494,0.36,2.621,1.869,0.537,0.129,0.943,0.672,0.241,1.755,1.251,7.285,5.194,0.713,-0.02,-0.93,0.55,-0.35,-2.4,0.46,1.48,0.58,-1.47,1.39,0.9,-0.9,-2.95,-0.09,-0.57,-2.05,0.81,0.32,2.86,2.38,-0.49,0.810023325,9.72E-11,1.84E-07,1.67E-05,2.26E-14,2.86E-06,4.81E-13,1.85E-06,3.28E-13,1.58E-12,1.91E-09,3.33E-10,2.26E-14,0.60202768,1.63E-07,2.34E-14,1.90E-09,0.000609684,2.26E-14,2.29E-14,1.83E-06,1,8.26E-10,1.33E-06,7.96E-05,7.98E-14,2.10E-05,6.19E-12,8.03E-06,1.23E-12,1.50E-11,1.26E-08,4.20E-09,8.76E-14,1,7.54E-07,8.69E-14,1.64E-08,0.001959045,8.46E-14,1.15E-13,8.05E-06
FALSE,DL-Arginine,C6 H14 N4 O2,Full match,Full match,Full match,Full match,,174.11179,0.469,15512110.94,8,4,95.2,Multiple matches found,No matches found,,12117815.36,15672886.54,11589112.52,740408.3583,8961457.877,9645057.345,11232258.3,5.47520217,3.559614336,5.907355948,5.280999214,1.971593714,2.808196052,3.380596055,0.859,1.079,1.395,1.032,0.066,0.798,1.293,0.956,0.061,0.74,0.796,0.739,0.047,0.572,0.615,0.064,0.773,0.832,12.103,13.027,1.076,-0.22,0.11,0.48,0.05,-3.92,-0.33,0.37,-0.06,-4.03,-0.44,-0.33,-0.44,-4.4,-0.81,-0.7,-3.97,-0.37,-0.26,3.6,3.7,0.11,0.002310237,0.021148708,5.11E-08,0.288900613,2.26E-14,4.69E-05,4.30E-05,0.835092852,2.26E-14,7.40E-07,1.30E-05,5.01E-06,2.26E-14,2.37E-10,1.53E-09,2.26E-14,5.22E-06,0.00012337,2.26E-14,2.26E-14,0.512510479,0.00810323,0.047044967,4.49E-07,0.638685239,7.98E-14,0.000252455,0.000123813,1,1.28E-13,2.98E-06,4.22E-05,3.14E-05,8.76E-14,3.91E-09,1.02E-08,8.69E-14,2.45E-05,0.000431393,8.46E-14,1.15E-13,0.903436923
FALSE,Trigonelline,C7 H7 N O2,Full match,Full match,Not the top hit,Full match,,137.04774,0.576,12277449.68,40,8,99.3,Multiple matches found,No matches found,,6457374.353,12277449.68,12500843.24,1763517.437,15704956.47,9449544.655,11148220.16,6.199731972,3.392608807,5.671880119,10.03959531,4.138672235,4.320848475,6.516327395,0.848,0.579,1.101,1.121,0.158,1.409,1.901,1.936,0.273,2.432,1.463,1.018,0.144,1.279,0.77,0.141,1.256,0.756,8.905,5.358,0.602,-0.24,-0.79,0.14,0.17,-2.66,0.49,0.93,0.95,-1.87,1.28,0.55,0.03,-2.8,0.36,-0.38,-2.83,0.33,-0.4,3.15,2.42,-0.73,0.002376563,2.52E-08,0.807023701,0.841955698,2.29E-14,2.44E-05,2.74E-08,2.96E-08,2.62E-13,1.08E-10,9.71E-05,0.99999999,2.30E-14,0.000904636,0.000607514,2.30E-14,0.000797934,0.000688111,2.28E-14,2.45E-14,1.21E-07,0.008283134,1.28E-07,1,1,7.98E-14,0.000139379,1.28E-07,1.70E-07,1.00E-12,7.41E-10,0.0002749,1,8.76E-14,0.003142729,0.0016251,8.69E-14,0.002719074,0.002197847,8.46E-14,1.16E-13,6.80E-07
